les Escaldes	42.5072869554153	1.53413772583008	AD
Andorra la Vella	42.5051514333831	1.51506185531616	AD
Umm al Qaywayn	25.5652778	55.5533333	AE
Ra's al Khaymah	25.7911111	55.9427778	AE
Khawr Fakkān	25.3391667	56.3561111	AE
Dubai	25.2522222	55.28	AE
Sharjah	25.3622222	55.3911111	AE
Al Fujayrah	25.1230556	56.3375	AE
Al `Ayn	24.1916667	55.7605556	AE
`Ajmān	25.41110530265	55.435037612915	AE
Abu Dhabi	24.4666667	54.3666667	AE
Таликан	36.73	69.53	AF
Šīndand	33.3	62.14	AF
Sheberghān	36.6672222	65.7536111	AF
Shāhrag	34.1083333	64.3033333	AF
Sar-e Pol	36.2155556	65.9363889	AF
Sang-e Chārak	35.8497222	66.4369444	AF
Samangān	36.2652778	68.0166667	AF
Rostāq	37.1275	69.8305556	AF
Qarqīn	37.4127778	66.0472222	AF
Qarāvol	37.2211111	68.78	AF
Pol-e Khomrī	35.9425	68.7191667	AF
Paghmān	34.5875	68.9533333	AF
Nahrīn	36.0652778	69.1338889	AF
Mehtar Lām	34.6713889	70.2094444	AF
Mazār-e Sharīf	36.7069444	67.1122222	AF
Nawab City	31.58	64.36	AF
Kūshk	33.2961111	61.9527778	AF
Kondūz	36.72	68.86	AF
Khōst	33.3380556	69.9202778	AF
Tāshqorghān	36.6952778	67.6980556	AF
Khāsh	31.5291667	62.7925	AF
Ханабад	36.68	69.11	AF
Karokh	34.4791667	62.5869444	AF
Kandahar	31.61	65.7	AF
Kabul	34.5166667	69.1833333	AF
Jalalabad	34.42	70.45	AF
Parwan	35.11	69.23	AF
Herat	34.34	62.19	AF
Ghazni	33.5535554007418	68.4268856048584	AF
Gereshk	31.8188889	64.5647222	AF
Gardez	33.59	69.22	AF
Feyẕābād	37.1175	70.5797222	AF
Farakh	32.37	62.11	AF
Eslām Qal`eh	34.6666667	61.0666667	AF
Charikar	35.01	69.17	AF
Barakī Barak	33.9675	68.9486111	AF
Balkh	36.7586111	66.8961111	AF
Baghlan	36.12	68.7	AF
Āt Khvājeh	37.0841667	69.4805556	AF
Asmar	35.03	71.35	AF
Andkhvoy	36.9525	65.1236111	AF
Āchīn	34.12	70.7	AF
Cool űrhajó	34.2654451599764	67.3451614379883	AF
Saint John's	17.1166667	-61.85	AG
Sarandë	39.8755556	20.0052778	AL
Kukës	42.0769444	20.4219444	AL
Korçë	40.6186111	20.7808333	AL
Gjirokastër	40.0758333	20.1388889	AL
Elbasan	41.1125	20.0822222	AL
Burrel	41.6102778	20.0088889	AL
Vlorë	40.4666667	19.4897222	AL
Tirana	41.3275	19.8188889	AL
Shkodër	42.0682828884085	19.5125770568848	AL
Patos Fshat	40.6427778	19.6508333	AL
Lushnjë	40.9419444	19.705	AL
Lezhë	41.7836111	19.6436111	AL
Laç	41.6355556	19.7130556	AL
Kuçovë	40.8002778	19.9166667	AL
Krujë	41.5091667	19.7927778	AL
Kavajë	41.1855556	19.5569444	AL
Fier-Çifçi	40.7166667	19.5666667	AL
Durrës	41.3230556	19.4413889	AL
Berat	40.7058333	19.9522222	AL
Kapan	39.2011111	46.415	AM
Goris	39.5077778	46.3386111	AM
Hats'avan	39.4627778	45.9730556	AM
Artashat	39.9538889	44.5505556	AM
Ararat	39.8302778	44.7025	AM
Yerevan	40.1811111	44.5136111	AM
Ejmiatsin	40.1727778	44.2925	AM
Spitak	40.8372222	44.2675	AM
Sevan	40.555	44.9536111	AM
Masis	40.0672222	44.4361111	AM
Vanadzor	40.8127778	44.4883333	AM
Gavarr	40.3588889	45.1266667	AM
Hrazdan	40.5016667	44.7547222	AM
Armavir	40.1522222	44.0308333	AM
Gyumri	40.7894444	43.8475	AM
Ashtarak	40.3016667	44.3591667	AM
Abovyan	40.2691667	44.6244444	AM
Willemstad	12.1	-68.9166667	AN
Saurimo	-9.65	20.4	AO
Lucapa	-8.4166667	20.75	AO
Luau	-10.7	22.2333333	AO
Uíge	-7.6166667	15.05	AO
Soyo	-6.1333333	12.3666667	AO
N'zeto	-7.2333333	12.8666667	AO
M'banza Congo	-6.2666667	14.25	AO
Malanje	-9.5447222	16.3452778	AO
Luanda	-8.8383333	13.2344444	AO
Caxito	-8.58	13.6641667	AO
Cabinda	-5.55	12.2	AO
Sumbe	-11.2	13.8333333	AO
Namibe	-15.1961111	12.1522222	AO
Luena	-11.7833333	19.9166667	AO
Lubango	-14.9166667	13.5	AO
Longonjo	-12.9066667	15.2533333	AO
Lobito	-12.3480556	13.5455556	AO
Kuito	-12.3833333	16.9333333	AO
Huambo	-12.7761111	15.7391667	AO
Catumbela	-12.4313889	13.5472222	AO
Catabola	-12.15	17.2833333	AO
Camacupa	-12.0166667	17.4833333	AO
Caluquembe	-13.7833333	14.6833333	AO
Caála	-12.8525	15.5605556	AO
Benguela	-12.5783333	13.4072222	AO
Zárate	-34.0922222	-59.035	AR
Tandil	-37.3166667	-59.15	AR
San Lorenzo	-28.1333333	-58.7666667	AR
Resistencia	-27.45	-58.9833333	AR
Reconquista	-29.15	-59.65	AR
Quilmes	-34.7202778	-58.2694444	AR
Puerto Iguazú	-25.5991156963377	-54.5735549926758	AR
Posadas	-27.3833333	-55.8833333	AR
Oberá	-27.4833333	-55.1333333	AR
Necochea	-38.55	-58.75	AR
Mercedes	-34.6544444	-59.4344444	AR
Mercedes	-29.2	-58.0833333	AR
Mar del Plata	-38.0	-57.55	AR
Luján	-34.5702778	-59.105	AR
La Plata	-34.9313889	-57.9488889	AR
Gualeguaychú	-33.0102778	-58.5141667	AR
Gualeguay	-33.1444444	-59.3291667	AR
Goya	-29.1333333	-59.2666667	AR
Formosa	-26.1833333	-58.1833333	AR
Dolores	-36.3333333	-57.6666667	AR
Corrientes	-27.4666667	-58.8333333	AR
Concordia	-31.4	-58.0333333	AR
Concepción del Uruguay	-32.4833333	-58.2283333	AR
Colegiales	-34.5833333	-58.45	AR
Campana	-34.1769444	-58.9208333	AR
Buenos Aires	-34.5761256318848	-58.4088134765625	AR
Azul	-36.7833333	-59.85	AR
Villa María	-32.4166667	-63.25	AR
Villa Constitución	-33.2333333	-60.3333333	AR
Villa Carlos Paz	-31.4	-64.5166667	AR
Viedma	-40.8	-63.0	AR
Victoria	-32.6184122411498	-60.1547813415527	AR
Venado Tuerto	-33.7497222	-61.9669444	AR
Veinticinco de Mayo	-35.4280556	-60.1741667	AR
Ushuaia	-54.8	-68.3	AR
Tres Arroyos	-38.3833333	-60.2833333	AR
Trelew	-43.248953896869	-65.3050518035889	AR
Tartagal	-22.5333333	-63.8166667	AR
Santiago del Estero	-27.7833333	-64.2666667	AR
Santa Rosa	-36.6166667	-64.2833333	AR
Santa Fe	-31.6333333	-60.7	AR
San Salvador de Jujuy	-24.1833333	-65.3	AR
San Ramón de la Nueva Orán	-23.1322304487324	-64.3259811401367	AR
San Rafael	-34.6	-68.3333333	AR
San Pedro	-24.2333333	-64.8666667	AR
San Nicolás de los Arroyos	-33.3302778	-60.2269444	AR
San Miguel de Tucumán	-26.8166667	-65.2166667	AR
San Martín	-33.0666667	-68.4666667	AR
San Luis	-33.3	-66.35	AR
San Juan	-31.5375	-68.5363889	AR
San Francisco	-31.4333333	-62.0833333	AR
San Fernando del Valle de Catamarca	-28.4666667	-65.7833333	AR
San Carlos de Bariloche	-41.15	-71.3	AR
Salta	-24.7833333	-65.4166667	AR
Rosario	-32.9511111	-60.6663889	AR
Río Tercero	-32.1833333	-64.1	AR
Río Gallegos	-51.6333333	-69.2166667	AR
Río Cuarto	-33.1333333	-64.35	AR
Rawson	-43.3	-65.1	AR
Rafaela	-31.2666667	-61.4833333	AR
Punta Alta	-38.8833333	-62.0833333	AR
Puerto Madryn	-42.7666667	-65.05	AR
Presidencia Roque Sáenz Peña	-26.7833333	-60.45	AR
Pergamino	-33.8925	-60.5725	AR
Paraná	-31.7333333	-60.5333333	AR
Olavarría	-36.9	-60.2833333	AR
Nueve de Julio	-35.4541667	-60.8913889	AR
Neuquén	-38.95	-68.0666667	AR
Mendoza	-32.8833333	-68.8166667	AR
Lincoln	-34.865	-61.5319444	AR
Libertador General San Martín	-23.8	-64.8	AR
La Rioja	-29.4333333	-66.85	AR
Junín	-34.585	-60.9588889	AR
General Roca	-39.0333333	-67.5833333	AR
General Pico	-35.6666667	-63.7333333	AR
Cutral-Có	-38.9333333	-69.2333333	AR
Coronel Suárez	-37.4666667	-61.9166667	AR
Córdoba	-31.4	-64.1833333	AR
Comodoro Rivadavia	-45.8666667	-67.5	AR
Chivilcoy	-34.9083333	-60.0305556	AR
Chacabuco	-34.6416667	-60.4738889	AR
Cañada de Gómez	-32.8169444	-61.4008333	AR
Bell Ville	-32.6166667	-62.7	AR
Bahía Blanca	-38.7166667	-62.2833333	AR
Alta Gracia	-31.6666667	-64.4333333	AR
Villa Santa Rita	-34.6147734952543	-58.4797096252441	AR
Wolfsberg	46.8405556	14.8441667	AT
Wiener Neustadt	47.8	16.25	AT
Wien	48.2084877601653	16.3720750808716	AT
Wels	48.1666667	14.0333333	AT
Weinzierl bei Krems	48.4	15.6	AT
Villach	46.6102778	13.8558333	AT
Traun	48.2166667	14.2333333	AT
Traiskirchen	48.0166667	16.2833333	AT
Ternitz	47.7166667	16.0333333	AT
Steyr	48.0427423170615	14.421272277832	AT
Spittal an der Drau	46.8	13.5	AT
Schwechat	48.1333333	16.4666667	AT
Sankt Pölten	48.2	15.6333333	AT
Salzburg	47.8	13.0333333	AT
Saalfelden am Steinernen Meer	47.4166667	12.85	AT
Mödling	48.0833333	16.2833333	AT
Lustenau	47.4330556	9.65	AT
Linz	48.3063888888	14.286111111	AT
Leonding	48.2666667	14.25	AT
Leoben	47.3833333	15.1	AT
Kufstein	47.5833333	12.1666667	AT
Krems an der Donau	48.4092062871808	15.6141471862793	AT
Klosterneuburg	48.3052063585096	16.3252222537994	AT
Klagenfurt	46.6247222	14.3052778	AT
Kapfenberg	47.4333333	15.3	AT
Innsbruck	47.2666667	11.4	AT
Hallein	47.6833333	13.1	AT
Graz	47.0666667	15.45	AT
Feldkirch	47.2330556	9.6	AT
Dornbirn	47.4166667	9.7330556	AT
Bregenz	47.5	9.7666667	AT
Braunau am Inn	48.2666667	13.0333333	AT
Baden	48.0166667	16.2333333	AT
Amstetten	48.1166667	14.8666667	AT
Whyalla	-33.0333333	137.5833333	AU
Roebourne	-20.7833333	117.1333333	AU
